Customer_ID,Name,Age,Occupation,Address,Loan_Type,Loan_ID,Loan_Amount,Products_Actual_Cost
CUST-00000,Person 0,15-02-1987,Teacher  ,"2038 Main St, Anytown, CA 12345",Auto,LN-00000,431494,438419
CUST-00001,Person 1,12-07-1993,Teacher,"3895 Main St, Anytown, CA 12345",Auto,LN-00001,416310,421780
CUST-00002,Person 2,28-11-1982,Teacher  ,"4906 Main St, Anytown, CA 12345",Home Improvement,LN-00002,364969,366227
CUST-00003,Person 3,21-04-1992,Student,"4633 Main St, Anytown, CA 12345",Home Improvement,LN-00003,194064,202175
CUST-00004,Person 4,04-08-1979,Business Owner,"2403 Main St, Anytown, CA 12345",Home Improvement,LN-00004,264538,273867
CUST-00005,Person 5,22-06-1989,Engineer,"3617 Main St, Anytown, CA 12345",Mortgage,LN-00005,499681,507362
CUST-00006,Person 6,01-05-1986,Teacher,"1657 Main St, Anytown, CA 12345",Personal,LN-00006,289329,291496
CUST-00007,Person 7,17-03-1990,Student,"2937 Main St, Anytown, CA 12345",Auto,LN-00007,130787,135811
CUST-00008,Person 8,27-12-1981,Teacher,"1079 Main St, Anytown, CA 12345",Personal,LN-00008,78929,79969
CUST-00009,Person 9,09-09-1985,Business Owner,"3212 Main St, Anytown, CA 12345",Auto,LN-00009,131858,134117
CUST-00010,Person 10,03-07-1988,Business Owner,"4109 Main St, Anytown, CA 12345",Home Improvement,LN-00010,412770,421296
CUST-00011,Person 11,24-08-1991,Student,"1215 Main St, Anytown, CA 12345",Mortgage,LN-00011,274959,282120
CUST-00012,Person 12,16-10-1978,Doctor,"1529 Main St, Anytown, CA 12345",Personal,LN-00012,122489,126111
CUST-00013,Person 13,31-01-1983,Teacher  ,"4353 Main St, Anytown, CA 12345",Mortgage,LN-00013,101881,106523
CUST-00014,Person 14,20-05-1994,Teacher  ,"3134 Main St, Anytown, CA 12345",Personal,LN-00014,57852,67737
CUST-00015,Person 15,10-06-1984,Doctor,"4971 Main St, Anytown, CA 12345",Mortgage,LN-00015,412060,416770
CUST-00016,Person 16,18-03-1987,Student,"2225 Main St, Anytown, CA 12345",Mortgage,LN-00016,355824,364330
CUST-00017,Person 17,25-08-1993,Teacher,"2200 Main St, Anytown, CA 12345",Mortgage,LN-00017,182773,188758
CUST-00018,Person 18,29-12-1982,Teacher,"4908 Main St, Anytown, CA 12345",Mortgage,LN-00018,461053,464897
CUST-00019,Person 19,22-05-1992,Student,"4571 Main St, Anytown, CA 12345",Auto,LN-00019,53918,63902
CUST-00020,Person 20,05-09-1979,Doctor,"3315 Main St, Anytown, CA 12345",Auto,LN-00020,464124,468616
CUST-00021,Person 21,23-07-1989,Business Owner,"4743 Main St, Anytown, CA 12345",Personal,LN-00021,233428,236202
CUST-00022,Person 22,02-06-1986,Engineer,"1607 Main St, Anytown, CA 12345",Personal,LN-00022,459663,467414
CUST-00023,Person 23,18-04-1990,Teacher,"4199 Main St, Anytown, CA 12345",Auto,LN-00023,314482,322749
CUST-00024,Person 24,28-01-1981,Student,"4205 Main St, Anytown, CA 12345",Auto,LN-00024,304960,311829
CUST-00025,Person 25,10-10-1985,Teacher,"4965 Main St, Anytown, CA 12345",Home Improvement,LN-00025,459596,463741
CUST-00026,Person 26,04-08-1988,Teacher,"4768 Main St, Anytown, CA 12345",Mortgage,LN-00026,412542,417934
CUST-00027,Person 27,25-09-1991,Business Owner,"4359 Main St, Anytown, CA 12345",Personal,LN-00027,78755,83534
CUST-00028,Person 28,17-11-1978,Doctor  ,"3363 Main St, Anytown, CA 12345",Mortgage,LN-00028,420936,426073
CUST-00029,Person 29,01-02-1983,Doctor  ,"2333 Main St, Anytown, CA 12345",Mortgage,LN-00029,470706,474928
CUST-00030,Person 30,21-06-1994,Business Owner,"1114 Main St, Anytown, CA 12345",Home Improvement,LN-00030,414808,419301
CUST-00031,Person 31,11-07-1984,Doctor,"2033 Main St, Anytown, CA 12345",Mortgage,LN-00031,91590,97476
CUST-00032,Person 32,19-04-1987,Business Owner  ,"2708 Main St, Anytown, CA 12345",Auto,LN-00032,141044,143495
CUST-00033,Person 33,26-09-1993,Engineer,"2391 Main St, Anytown, CA 12345",Mortgage,LN-00033,139883,143686
CUST-00034,Person 34,30-01-1982,Student,"1002 Main St, Anytown, CA 12345",Home Improvement,LN-00034,210837,216636
CUST-00035,Person 35,22-06-1992,Engineer,"3106 Main St, Anytown, CA 12345",Auto,LN-00035,455033,459434
CUST-00036,Person 36,06-10-1979,Business Owner,"3993 Main St, Anytown, CA 12345",Auto,LN-00036,237419,242713
CUST-00037,Person 37,24-08-1989,Doctor,"1549 Main St, Anytown, CA 12345",Auto,LN-00037,216183,224581
CUST-00038,Person 38,03-07-1986,Teacher ,"1922 Main St, Anytown, CA 12345",Home Improvement,LN-00038,138058,142398
CUST-00039,Person 39,19-05-1990,Student ,"2868 Main St, Anytown, CA 12345",Home Improvement,LN-00039,221787,224594
CUST-00040,Person 40,28-02-1981,Student ,"3919 Main St, Anytown, CA 12345",Mortgage,LN-00040,55782,63900
CUST-00041,Person 41,11-11-1985,Engineer,"1064 Main St, Anytown, CA 12345",Mortgage,LN-00041,65516,72404
CUST-00042,Person 42,05-09-1988,Engineer,"1105 Main St, Anytown, CA 12345",Home Improvement,LN-00042,373038,379565
CUST-00043,Person 43,26-10-1991,Doctor,"1663 Main St, Anytown, CA 12345",Personal,LN-00043,271957,274780
CUST-00044,Person 44,18-12-1978,Engineer,"2522 Main St, Anytown, CA 12345",Auto,LN-00044,454976,460135
CUST-00045,Person 45,02-03-1983,Doctor,"2564 Main St, Anytown, CA 12345",Personal,LN-00045,262076,268620
CUST-00046,Person 46,22-07-1994,Engineer ,"4821 Main St, Anytown, CA 12345",Home Improvement,LN-00046,265053,270566
CUST-00047,Person 47,12-08-1984,Business Owner,"3230 Main St, Anytown, CA 12345",Mortgage,LN-00047,68294,74651
CUST-00048,Person 48,20-05-1987,Business Owner,"1503 Main St, Anytown, CA 12345",Auto,LN-00048,363544,365340
CUST-00049,Person 49,27-10-1993,Student,"2252 Main St, Anytown, CA 12345",Personal,LN-00049,438422,443133
CUST-00050,Person 50,01-02-1982,Business Owner,"4858 Main St, Anytown, CA 12345",Auto,LN-00050,334732,339566
